ETF,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Skewness,Kurtosis,Stationary,Normal,VaR 95% (%),CVaR 95% (%),Sortino Ratio,Calmar Ratio
IVV,10.143280937908937,19.02087016116297,0.4281234701100048,-59.33847735162187,-0.4650247266298643,12.499067467441956,✓,✗,-1.811494952166458,-2.990747900871368,0.5090867799284833,0.1709393531924138
IEF,3.2398966477886315,6.815751726455415,0.181916345775325,-24.711594395218533,0.11009327298419497,2.6632306845326394,✓,✗,-0.6810068278421294,-0.941202468959015,0.2784628388759705,0.1311083613615608
GLD,10.198686911949578,17.58248247704617,0.46629859706403326,-49.22110067567724,-0.2990850549941674,5.840016171619036,✓,✗,-1.7472095143628585,-2.632760174383939,0.622783863200503,0.20720152072887899
