Portfolio,IVV,IEF,GLD
Max Sharpe,0.3033282695366898,0.43127044706000706,0.26540128340330327
Min Volatility,0.17080299584945527,0.8038571706345435,0.025339833516001227
Equal Weight,0.3333333333333333,0.3333333333333333,0.3333333333333333
Risk Parity,0.22475004423582876,0.5922098963893501,0.18304005937482126
