,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,annual_mean,annual_std,Annual Return (%),Annual Vol (%),Sharpe Ratio,Max Drawdown (%),Skewness,Kurtosis,Stationary,Normal,VaR 95% (%),CVaR 95% (%),Sortino Ratio,Calmar Ratio
IVV,5218.0,0.00040251114832971975,0.011982021944401493,-0.12300747457232787,-0.003976291138940604,0.0007710228140440699,0.005834980996674484,0.10525467584910993,-0.4650247266298643,12.499067467441956,0.10143280937908937,0.1902087016116297,10.143280937908937,19.02087016116297,0.4281234701100048,-59.33847735162187,-0.4650247266298643,12.499067467441956,✓,✗,-1.811494952166458,-2.990747900871368,0.5090867799284833,0.1709393531924138
IEF,5218.0,0.00012856732729319965,0.004293520015752419,-0.025392385359194504,-0.0024520119113287946,0.00022523476943643367,0.002634089693589238,0.033688602582056484,0.11009327298419497,2.6632306845326394,0.032398966477886315,0.06815751726455414,3.2398966477886315,6.815751726455415,0.181916345775325,-24.711594395218533,0.11009327298419497,2.6632306845326394,✓,✗,-0.6810068278421294,-0.941202468959015,0.2784628388759705,0.1311083613615608
GLD,5218.0,0.0004047097980932372,0.01107592287271788,-0.09190507457983844,-0.00511386068932085,0.0005719631681658457,0.006194846436930892,0.10697398423801134,-0.2990850549941674,5.840016171619036,0.10198686911949578,0.1758248247704617,10.198686911949578,17.58248247704617,0.46629859706403326,-49.22110067567724,-0.2990850549941674,5.840016171619036,✓,✗,-1.7472095143628585,-2.632760174383939,0.622783863200503,0.20720152072887899
