ETF,Ann. Return,Ann. Volatility,Sharpe,Sortino,Max Drawdown,VaR 95%,Return/Vol
IVV,0.10143283186372792,0.19020851745094502,0.42812400283141644,0.5090873386628304,-0.5933845388165552,-0.01811497605880407,0.5332717652346328
IEF,0.032398960131873177,0.06815738998223966,0.18191659239158192,0.27846207632927,-0.24711604624756017,-0.006810095501803712,0.4753550589351447
GLD,0.10198686911949578,0.1758248247704617,0.46629859706403326,0.6227838632005029,-0.49221100675677243,-0.017472095143628585,0.5800481772277553
